date,price,spot_vol_1d,miner_balance
2/26/2017,1183.806291,96071301.84,1900688.152
2/27/2017,1194.828375,102052941.5,1900551.819
2/28/2017,1195.836902,182555313.6,1901244.873
3/1/2017,1228.561442,155490762.2,1900265.685
3/2/2017,1265.857847,257487546.7,1899797.065
3/3/2017,1291.577004,212632170.7,1899239.16
3/4/2017,1267.352852,127384002.8,1899313.29
3/5/2017,1277.510506,77856703.28,1900262.919
3/6/2017,1283.684208,83968032.58,1899288.59
3/7/2017,1236.293848,243231596.6,1899681.032
3/8/2017,1150.023604,293289874.9,1898618.37
3/9/2017,1195.15417,178383323.6,1899165.756
3/10/2017,1112.086674,539094186.7,1898381.688
3/11/2017,1185.305844,233663538,1899438.988
3/12/2017,1235.771138,187899847.6,1899775.826
3/13/2017,1244.566362,297501241.2,1900462.656
3/14/2017,1247.763004,178928441.3,1899673.237
3/15/2017,1262.420624,213020817.6,1900293.059
3/16/2017,1176.960884,536104155.1,1900919.172
3/17/2017,1075.723257,625754556.4,1901753.956
3/18/2017,968.1089977,583128199.9,1901901.912
3/19/2017,1018.304559,327063104.2,1901454.185
3/20/2017,1043.657838,216618103.8,1901564.623
3/21/2017,1113.668597,261090796.4,1902092.16
3/22/2017,1037.246585,311847473.5,1902580.038
3/23/2017,1027.283029,156239073.2,1896975.361
3/24/2017,933.1697539,376883035.5,1897156.721
3/25/2017,961.3879462,326930961.3,1897991.729
3/26/2017,969.0173124,240640855.4,1898381.342
3/27/2017,1041.310289,245939269.8,1897921.015
3/28/2017,1045.475015,215172425.5,1897194.511
3/29/2017,1040.442818,211349799.9,1891957.328
3/30/2017,1037.753405,221680041.5,1893194.738
3/31/2017,1082.725042,323034866,1893675.994
4/1/2017,1090.400532,181262183.6,1892583.02
4/2/2017,1099.026133,393045731.3,1893559.28
4/3/2017,1151.159749,440139453.4,1894191.747
4/4/2017,1143.029203,287453899,1894606.787
4/5/2017,1133.062623,280326878.1,1894543.058
4/6/2017,1193.153772,342337111.3,1894437.664
4/7/2017,1193.313264,193538955.9,1893693.807
4/8/2017,1183.893505,132208224.5,1894493.478
4/9/2017,1209.336901,156601764.6,1895098.715
4/10/2017,1209.849984,127859647.5,1895250.104
4/11/2017,1221.539874,112783203.2,1896616.8
4/12/2017,1214.456798,184249336.1,1896431.575
4/13/2017,1174.836851,234551991.3,1892479.664
4/14/2017,1172.669191,155532116.4,1891035.217
4/15/2017,1177.715267,121636091.7,1890794.119
4/16/2017,1164.973383,85255933.1,1891216.122
4/17/2017,1189.537577,139267744.8,1890878.479
4/18/2017,1201.715848,155516109,1889468.617
4/19/2017,1210.483923,151527337.8,1889968.768
4/20/2017,1235.664937,186096551,1890182.645
4/21/2017,1249.056123,152311708.6,1890838.565
4/22/2017,1241.895176,145968134.5,1890859.755
4/23/2017,1250.347242,155287892.4,1891799.172
4/24/2017,1256.5417,149118909.5,1892047.988
4/25/2017,1278.641766,154034711.3,1892777.143
4/26/2017,1294.67805,235976990.3,1891128.557
4/27/2017,1346.685106,313875598.1,1891776.808
4/28/2017,1350.45765,403018565.1,1890878.879
4/29/2017,1354.406947,329817145.8,1890997.917
4/30/2017,1383.053903,300384490.2,1891217.166
5/1/2017,1425.248146,548136323.6,1891700.733
5/2/2017,1465.581043,333766828.3,1889589.012
5/3/2017,1526.420706,431106007.1,1886538.05
5/4/2017,1554.006849,730856352.2,1887881.283
5/5/2017,1526.227804,759051979.3,1887623.103
5/6/2017,1584.951413,433486469,1888524.69
5/7/2017,1597.205853,876964053.7,1888620.218
5/8/2017,1701.877046,1006106523,1889711.798
5/9/2017,1719.596103,913274935.6,1886135.075
5/10/2017,1791.269233,680622201.4,1886360.864
5/11/2017,1834.836758,567014099.5,1886277.545
5/12/2017,1694.46711,540548003.6,1885946.661
5/13/2017,1787.725666,356719420.7,1885942.358
5/14/2017,1796.773092,265387637.5,1886091.3
5/15/2017,1724.769487,503850018.4,1883871.387
5/16/2017,1738.601303,691122070.8,1882168.129
5/17/2017,1803.977485,746431434.3,1880915.904
5/18/2017,1891.218919,612399676.1,1880083.473
5/19/2017,1966.160006,850773940.1,1880827.977
5/20/2017,2052.975728,671865289.6,1882140.343
5/21/2017,2052.550212,804395647.8,1880218.715
5/22/2017,2114.348395,1434580915,1879503.621
5/23/2017,2268.056018,871023556.4,1876863.042
5/24/2017,2431.179175,1208699974,1873239.071
5/25/2017,2331.346228,1514025280,1873582.511
5/26/2017,2272.164905,1009526085,1874366.413
5/27/2017,2078.632375,1014254641,1874777.47
5/28/2017,2225.464571,649521978.5,1874882.579
5/29/2017,2286.206861,540834598.3,1874785.987
5/30/2017,2185.100505,939099626.5,1875533.452
5/31/2017,2298.220975,865366234.7,1874411.661
6/1/2017,2417.941274,976314776.6,1875719.139
6/2/2017,2479.561657,698973058.9,1875888.078
6/3/2017,2543.872327,839253250.7,1875861.862
6/4/2017,2521.845868,783952618.3,1876614.016
6/5/2017,2695.033419,695035953.7,1876183.317
6/6/2017,2873.796937,1181320749,1874553.092
6/7/2017,2701.41409,914718782.8,1874081.998
6/8/2017,2803.297017,667689506.1,1871408.044
6/9/2017,2810.29416,788997082.7,1871736.656
6/10/2017,2919.927971,1291110850,1871464.628
6/11/2017,2991.442658,1067029081,1871930.739
6/12/2017,2656.178179,1706983962,1871946.047
6/13/2017,2707.207588,1105386601,1868649.73
6/14/2017,2443.774073,1068878513,1868741.454
6/15/2017,2415.092621,1158638084,1868444.202
6/16/2017,2485.221578,615679744.5,1868189.649
6/17/2017,2644.36943,828773440.3,1867876.012
6/18/2017,2512.428822,687833151.3,1868778.66
6/19/2017,2595.047555,730542440.7,1867607.481
6/20/2017,2734.934233,1037963855,1868080.663
6/21/2017,2653.536153,880532415.7,1868274.338
6/22/2017,2693.67774,505548972.2,1868116.702
6/23/2017,2687.656425,388598879.4,1867016.352
6/24/2017,2568.592524,434794877.5,1867405.882
6/25/2017,2501.17887,597633743.4,1868767.411
6/26/2017,2419.828134,940107653.9,1865303.672
6/27/2017,2565.995575,730784782.1,1865508.802
6/28/2017,2554.221772,624100561.1,1865613.177
6/29/2017,2537.40771,449137114.1,1865394.593
6/30/2017,2460.923282,378114029.1,1864139.701
7/1/2017,2420.539465,369090993.2,1864774.144
7/2/2017,2508.711064,363550062.3,1865294.56
7/3/2017,2543.520557,440898983.8,1865272.648
7/4/2017,2603.975514,482528661.7,1865839.968
7/5/2017,2611.907634,432700229.1,1867479.883
7/6/2017,2601.191567,323788504.9,1867031.707
7/7/2017,2500.6068,418823283.6,1874321.593
7/8/2017,2559.290989,364608505.6,1875168.346
7/9/2017,2505.719367,225547590.1,1864771.94
7/10/2017,2337.69269,599295674.9,1864190.185
7/11/2017,2308.534903,751737153.3,1864503.059
7/12/2017,2386.678935,565845256.8,1864794.805
